,0
RMDVL,6
URYVR,6
VB02,6
AVBL,6
AVEL,6
AQR,6
AVAL,6
AVER,6
RID,6
AVAR,6
IL1LL,6
URYDR,6
URYVL,6
IL2LL,6
URYDL,6
BAGL,6
RMED,6
RMEV,6
RMEL,6
IL2LR,5
RIML,5
ALA,5
SMDDR,5
SMDVL,5
AVBR,5
BAGR,5
URXR,5
IL1LR,5
ANTIcorL,5
SMDDL,5
RMDVR,5
RMER,5
SMDVR,5
AUAL,4
OLQDL,4
URXL,4
AIBL,4
PQR,4
OLQVL,4
RIVL,4
OLQVR,4
URADR,4
RIBL,3
RIMR,3
AUAR,3
ANTIcorR,3
RIVR,3
SIADR,3
URADL,3
RIS,3
cor'L,2
SIAVR,2
OLQDR,2
RIBR,2
SIADL,2
IL1VL,1
VA02,1
VB03,1
ANTIcor2L,1
AVFR,1
AVFL,1
IL2DR,1
SIAL,1
IL1DR,1
cor'R,1
VA01,1
IL1DL,1
IL1VR,1
DA01,1
URAVL,1
ANTIcor2R?,1
DB01,1
SIAVL,1
AIBR,1
